instruction,context,response,category
"Would you typically find each of the following items in a bathroom, bedroom, kitchen or living room? Couch, pillow, dish soap, bedside table, oven, shower, toilet, coffee table, coffee machine",,"Couch: living room, pillow: bedroom, dish soap: kitchen, bedside table: bedroom, oven: kitchen, shower: bathroom, toilet: bathroom, coffee table: living room, coffee machine: kitchen",classification
What is Mario Puzo's most famous book?,,"The Godfather.  Originally published in 1969, is a novel about a fictional crime family in New York.",open_qa
What is the capital city of Malaysia?,,The capital city of Malaysia is Kuala Lumpur.,open_qa
what is a computer?,,A computer is a machine that can be programmed to carry out sequences of arithmetic or logical operations (computation) automatically.,general_qa
Is it fun to play guitar? How do you start playing guitar?,,"Playing guitar is a worthwhile and super fun exercise for anyone, but especially those that are musically inclined.  Even for a beginner, its not difficult to be able to start playing simple songs from great artists like the Rolling Stones, The Beatles, Jimi Hendrix, or even Led Zeppelin.  The best way to get started is by understanding open chords, both major and minor, and simple string picking patterns.",general_qa
Pitch me some bad ideas for cologne scents.,,"- Goat cheese
- Dead bird
- Nursing home
- Gasoline
- Carcase
- Sweat
- Basement must
- Mold",brainstorming
What are the names of some of the cities in the Boston Metro West area?,,"Boston Metro West cities include Newton, Natick, Framingham, Wellesley, Dedham, and Needham, among others.",open_qa
Extract all words derived from Swahili language in the following paragraph:,shingopana i known from a partial jaw represen by the angular bone shingopana i also known from four cervic vertebra with two of these vertebra have preser cervic rib and anoth isol cervic rib shingopana instead had remnant of a bulbou expan on the incomplet preser cervic vertebra which probab hel to strengthen it neck,The following are words extracted from Swahili language in the above paragraph: Shingopana (which means wide neck).,information_extraction
How many cents do I have if I have 3 quarters?,,"If you have 3 quarters, you have 75 cents.",open_qa
Give me a list of Greek foods that are absolutely amazing,,"1. spanakopita
2. tyropita
3. gemista
4. lamb souvlaki
5. chicken souvlaki
6. tzatziki
7. taramasalata
8. dolmathes
9. calamari
10. greek salad",brainstorming
Which Game of Thrones episode does Arya go blind?,,"Arya goes temporarily blind in the last episode of season 5, entitled ""Mother's Mercy""",open_qa
What color is the Rainbow?,,"The rainbow is the VIBGYOR that stands for Violet, Indigo, Blue, green, yellow, Orange and Red.",open_qa
Name the Hindi novel that has become the 1st novel to win the International Booker Prize,,Tomb of Sand,open_qa
"If my car's fuel tank fits 18 gallon, how many times do I need to refuel on a 10-hour trip if the average speed is 60mph and the car's fuel efficiency is 30mpg?",,"Assuming the tank is full when you start, you would have to refuel once. 10 hours at 60mph means the total distance is 600 miles. To drive 600 miles at a fuel efficiency of 30 mpg you would need 20 gallons of fuel. That's more than the 18 gallon capacity of the tank, but less than twice the capacity, so you would need to refuel once.",creative_writing
"Which of the following Countries are on the African Continent: Nigeria, Ethiopia, Egypt, Tanzania, Kenya, United Kingdom, Belgium, France, Germany, Russia, Afghanistan, Iraq, Brazil, Columbia.",,"Of the Countries you listed, Nigeria, Ethiopia, Egypt, Tanzania, and Kenya are on the African continent. 

For reference: 

United Kingdom, Belgium, France, Germany, Russia are on the European continent

Afghanistan and Iraq are on the Asian continent

Brazil and Columbia are on the South American continent",classification
What would be the pros and cons of replacing all civilian airplanes with dirigibles?,,"Replacing all civilian airplanes with dirigibles would have positive and negative effects. The most notable positive effect would be reduced environmental impact: although dirigibles, like airplanes, need engines, dirigibles are filled with lighter-than-air gas and therefore no power is needed to counteract gravity, so they consume less fuel. However, there would be a significant negative economic impact because dirigibles fly much more slowly than airplanes, thus the items airplanes carry (e.g. people and freight) would take much longer to get to their destination. In addition, another problem with dirigibles is that they are less able to handle strong winds compared to airplanes, so it might be necessary for the dirigible to take a more circuitous route than an airplane, or simply delay the flight until the bad weather passes.",general_qa
What is a bubble vest?,,"A bubble vest is an outerwear piece of clothing worn by both men and women. Usually it is stuffed with down or some sort of insulation to make it nice and warm.  Also, the vest usually has seams in it to make the bubble like appearance. There are lots of different brands that make bubble vests, but some common ones are The North Face, L.L. Bean, Patagonia, and Lands’ End.",general_qa
Where does Nick work on the show the New Girl,,at the Bar,open_qa
Who wrote the Great Gatsby?,,The Great Gatsby was written by F. Scott Fitzgerald,open_qa
"According to this paragraph, tell me what is referred to as the most exciting collegiate sporting event.",in 2019 virginia men  basketbal won the ncaa championship in march madnes the singl elimin nation colleg basketbal tournam consid by yougov poll american viewer a of the same year to be the most excit collegi spor event 200 201 in 2015 when virginia first won it first capit one cup it team won the 2014 colleg cup the 2015 colleg world seri and the 2015 ncaa tenni championship when it repeat the feat in 2019 the program won both march madnes and the 2019 men  lacross championship,What is referred to as the most exciting collegiate sporting event is when the Virginia men's basketball team won the NCAA Championship in 2019.,closed_qa
Who were the children of Bill 101,the children of bill 101 le enfant de la loi 101 i the name given to the gener of children whose parent immigr to quebec canada after the adop of the 1977 charter of the french languag bill 101 one of the charter  artic stipul that all children under 16 must receiv their primari and secondari educ in french school unles on of the child  parent ha receiv most of their educ in english in canada or the child or the child  sibl ha alreadi receiv a substanti part of their educ in english in canada if a child qualifi for a certif of elig for instruc in english under on of those criteria then the certif i perman and can be pass on to futur gener even if the child end up atten french instead of english school the perman certif can onli be gran if on of the child  parent i a canadian citizen in addit children of foreign temporari resid live in quebec on studi or work permit a well a children of diplomat can also obtain a temporari certif of elig that i onli valid for the durat of their permit 1,"The children of Bill 101 (les enfants de la loi 101) is the name given to the generation of children whose parents immigrated to Quebec, Canada after the adoption of the 1977 Charter of the French Language (Bill 101).

One of the Charter's articles stipulates that all children under 16 must receive their primary and secondary education in French schools, unless one of the child's parents has received most of their education in English, in Canada, or the child or the child's sibling has already received a substantial part of their education in English, in Canada.",closed_qa
"Categorize each of the following as being beneficial or not beneficial to making a home protected from burglars: alarm system, open doors, locks, cameras, open windows",,"Alarm System: Beneficial
Open Doors: Not Beneficial
Locks: Beneficial
Cameras: Beneficial
Open Windows: Not Beneficial",classification
What is a bond in finance?,,"In finance, a bond is a type of security under which the issuer (debtor) owes the holder (creditor) a debt, and is obliged – depending on the terms – to provide cash flow to the creditor (e.g. repay the principal (i.e. amount borrowed) of the bond at the maturity date as well as interest (called the coupon) over a specified amount of time).The timing and the amount of cash flow provided varies, depending on the economic value that is emphasized upon, thus giving rise to different types of bonds. The interest is usually payable at fixed intervals: semiannual, annual, and less often at other periods. Thus, a bond is a form of loan or IOU. Bonds provide the borrower with external funds to finance long-term investments or, in the case of government bonds, to finance current expenditure.

Bonds and stocks are both securities, but the major difference between the two is that (capital) stockholders have an equity stake in a company (i.e. they are owners), whereas bondholders have a creditor stake in a company (i.e. they are lenders). As creditors, bondholders have priority over stockholders. This means they will be repaid in advance of stockholders, but will rank behind secured creditors, in the event of bankruptcy. Another difference is that bonds usually have a defined term, or maturity, after which the bond is redeemed, whereas stocks typically remain outstanding indefinitely. An exception is an irredeemable bond, which is a perpetuity, that is, a bond with no maturity. Certificates of deposit (CDs) or short-term commercial paper are classified as money market instruments and not bonds: the main difference is the length of the term of the instrument.

The most common forms include municipal, corporate, and government bonds. Very often the bond is negotiable, that is, the ownership of the instrument can be transferred in the secondary market. This means that once the transfer agents at the bank medallion-stamp the bond, it is highly liquid on the secondary market. The price of a bond in the secondary market may differ substantially from the principal due to various factors in bond valuation.",open_qa
Why did Kim Kardashian and Ye divorce?,,Kim Kardashian and Ye experienced marital stress from many causes. The initial commonly cited reason by social outlets for their separation and later divorce was tensions that arose from Ye's erratic behavior on social media and in public spheres.,open_qa
Why do people like biking?,,"Biking is fun for people of all ages. Many people enjoying biking because it is good exercise and they are able to spend time outdoors. There are different styles of biking including road biking, mountain biking, and cross country. E-bikes are a growing trend that allow the rider to go farther distances, or bike with less effort per a given distance.",general_qa
What do you say to someone that is suicidal?,,"First, acknowledge their feelings.  While they may be irrational, they are very real emotions. Tell them that you are worried about them and ask them to seek help. If they will not seek help, take steps to alert the appropriate people.  Do not ignore any verbal signs.  Do not keep it a secret.  Ask them to contact emergency services immediately.  The National Suicide Prevention Lifeline is 1-800-273-TALK",creative_writing
"Which is a bird or fish: Black-necked grebe, Black tetra",,"Black tetra is a fish, Black-necked grebe is a bird",classification
"Given this paragraph about the First Treaty that was signed after the Russo-Japanese War, was there a secret component?",after the russo japanes war the first treati wa sig on 30 juli 1907 by motono ichirō the japanes ambassador in moscow and alexand izvolski the foreign minist of russian the treati wa divid into two part on i open agreem which respec the treati conclud between the two countri and china respec china  independ promot open door and achiev equal opportun and anoth i secret agreem which defin the scope of japan  interest in southern manchuria and russia  interest in northern manchuria and japan recogn russia  interest in outer mongolia and russia recogn japan  interest in the korean peninsula,Yes. The second part of the First Treaty contained a secret agreement which defined the political scope of each party's interest.,closed_qa
Why is my baby crying right now?,,"The first thing to check is if your baby is hungry. It’s by far the most common reason they cry. You can tell if they’re hungry by lightly touching their cheek and seeing if they have a “rooting” reflex. This is where they open their mouth and turn towards your touch, as if they were looking for the source of food.

If they’re not hungry, they’re possibly tired. Babies can become over tired and cry and fuss, even when you are just trying to get them to sleep. If this is the case you’ll need to calm them down first, and then you can get them to sleep.

Finally sometimes babies just cry for no reason. Isn’t parenting fun?",general_qa
"Identify which car manufacturer is German or American: Artega, Brammo, Vaydor",,"Brammo and Vaydor are American, Artega is German",classification
"tell me whether these are synonyms or antonyms of love: dislike, care, like, hate, affection, harsh",,"Synonyms: care, like, affection
Antonyms: dislike, hate, harsh",classification
What is the American show The Office based on?,,"The Office is based on the original version of the Office, which was produced in England and is known as the British Office",open_qa
"Which films contain Tom Cruise and which do not contain Tom Cruise: ""Trading Places"", ""Risky Business"", ""The Hunt for Red October"", ""Top Gun"", ""The Hangover"", ""Born on the 4th of July"", ""Saving Private Ryan"", and ""Reds""",,"The films which contain Tom Cruise are: ""Risky Business"", ""Top Gun"", and ""Born on the 4th of July."" The films which do not contain Tom Cruise are: ""Trading Places"", ""The Hunt for Red October"",""The Hangover"", ""Saving Private Ryan"", and ""Reds.""",classification
Who is Alexander McGuire?,alexand mcguir born 5 october 1932 i a new zealand cricket he plai in four first clas match for central district in 1957 58,Alexander McGuire (born 5 October 1932) is a New Zealand cricketer. He played in four first-class matches for Central Districts in 1957/58.,information_extraction
Which country has topped the swimming medals list in the summer olympics?,summari game year event best nation 1 1896 4 hungari 2 1900 7 great britain 3 1904 9 germani 4 1908 6 great britain 5 1912 9 germani 6 7 1920 10 unite state 8 1924 11 unite state 9 1928 11 unite state 10 1932 11 japan 11 1936 11 japan 12 13 14 1948 11 unite state 15 1952 11 unite state 16 1956 13 australia game year event best nation 17 1960 15 unite state 18 1964 18 unite state 19 1968 29 unite state 20 1972 29 unite state 21 1976 26 unite state 22 1980 26 east germani 23 1984 29 unite state 24 1988 31 east germani 25 1992 31 unite state 26 1996 32 unite state 27 2000 32 unite state 28 2004 32 unite state 29 2008 34 unite state 30 2012 34 unite state 31 2016 34 unite state 32 2020 37 unite state,United States,closed_qa
What are some fun ways to keep a toddler busy?,,"1. If you have a spare box and some colored plastic balls, one idea is to cut holes in the box and color a ring around each hole to match a color of ball. Mount the box and show your little one how to drop each ball into its matching hole. 

2. If you have a spare toothbrush and a yellow dry erase marker, you can work teach some teeth brushing skills in a fun way! Draw a big toothy smile and color in the lips and gums leaving the teeth bright white. Cover it up with clear tape or hard plastic wrap and cut it out.  Color the teeth with the yellow marker and have your little one brush it clean.

3. Teach some valuable life skills and keep your little one entertained by getting a kid-safe knife and having him or her cut fruits.",brainstorming
What are the disadvantages of Linux?,,"The disadvantages of Linux include limited hardware support, a steep learning curve, lack of commercial support, and compatibility issues.",open_qa
How do you plan a trip?,,"There are many different ways to plan a trip. In addition, there are many different factors to include in order to plan a trip. First of all, it is important to know the type of travel. Is this a business trip? Is this family trip?

Next you need to decide on how many days you want to stay in your destination(s). Once the first two steps are completed, you need to find out the activities during your trip. Last but not least, you need to decide on your budget.

Once all of these factors are decided, you should work backward and spread your budget between accommodations, activities and means of transportation.",creative_writing
"Identify which car manufacturer is German or American: Jeep, Alpina",,"Alpina is German, Jeep is American",classification
How can I better learn a new language?,,"Learning a language by using it is the most efficient way. Having a partner to practice not only help you work on your pronunciation and accent, it also incentivize you to keep practicing (similar to how having a gym buddy makes you go to the gym more often). 

Language are also meant to communicate. Allowing yourself for mistakes, whether it is an accent, bad conjugation would allow you to keep practicing and would result having a broader set of words and sentences you can use. From there correcting mistakes becomes easier as you naturally find relations between conjugation, forms etc.",open_qa
"From this passage, tell me what was the highest grossing movie in 2022 and what was the second highest grossing movie?",avatar the wai of water becam the 51st film to gros 1 billion worldwid 3 the sixth film to gros 2 billion worldwid the sixth fastest film to cros the billion dollar mark at 14 dai 4 the second fastest to gros the 2 billion mark 5 6 the highest gross film of 2022 7 and the highest gross film of the covid 19 pandem era 8 it had the 11th biggest global open of all time and the third biggest global open for a film in the pandem era behind spider man no wai home and doctor strang in the multivers of madnes ear 441 7 million in it first weekend 9 10 it also achiev the second highest global open weekend ever for a film releas in imax cinema with 48 8 million 9 with the releas of avatar the wai of water walt disnei studio motion pictur led over other film distributor in worldwid box offic gros and cross the 4 9 billion mark for the eighth year 11 disnei  cumul gros wa gener from 16 film releas acros it variou studio divis 12 top gun maverick becam the 49th film to gros 1 billion worldwid 13 addition the film surpass mission impossib fallout 2018 to becom tom cruis  highest gross film of all time at the worldwid box offic and also surpass war of the world 2005 to becom cruis  highest gross film at the domest box offic 14 it also pass the mummi 2017 a cruis  biggest open weekend at the worldwid box offic and also pass war of the world 2005 a cruis  biggest open at the domest box offic and hi first film to open to over 100 million in the us it also pass pirat of the caribbean at world  end 2007 anoth jerri bruckheim produc movi to have the highest memori dai open weekend 15 16 and pass shrek 2 2004 to have the lowest second weekend drop for a movi that made over 100m in it open weekend 17 the film surpass transform dark of the moon 2011 to becom the highest gross film distribut sole by paramount pictur worldwid and titan 1997 to becom paramount  highest gross film in the unite state and canada,"The highest grossing movie in 2022 is Avatar The way of Water, which grossed $2B worldwide. I unfortunately cannot tell what was the second highest grossing movie as that information is not available in the passage you shared with me",information_extraction
"Given a reference text about the Cuban Missile Crisis, when did the crisis occur and how long did it last?",the cuban missil crisi also known a the october crisi of 1962 spanish crisi de octubr in cuba the caribbean crisi russian карибский кризис tr karibski krizi ipa kɐˈrʲipskʲɪj ˈkrʲizʲɪ in russia or the missil scare wa a 35 dai october 16 novemb 20 1962 confront between the unite state and the soviet union which escal into an intern crisi when american deploy of missil in itali and turkei were matc by soviet deploy of similar ballist missil in cuba despit the short time frame the cuban missil crisi remain a defin moment in nation secur and nuclear war prepar the confront i often consid the closest the cold war came to escal into a full scale nuclear war 4,"The Cuban Missile crises lasted 35 days, from October 16 to November 20, 1962.",closed_qa
Write  the first paragraph of an advertising brochure describing an hotel nearby the Annecy Lake in France,,"This fantastic hotel is ideally located, minutes away from the Annecy Lake, one of the purest in Europe. The water temperature reaches 27 degrees celcius at the peak season, allowing the guests to swim and enjoy several water activities including wake surf and pedalo. Finally, this region is known for being the home of several cheese specialties like ""Raclette"" and ""Tartiflette"" to name a few.",creative_writing
"Given this text of Mao Zedong, tell me how many people were killed in Mao's era through starvation, persecution, prison labour, and mass executions?",mao zedong a 26 decemb 1893 9 septemb 1976 also known a chairman mao wa a chines communist revolutionari who wa the founder of the peopl  repub of china prc which he led a the chairman of the chines communist parti from the establish of the prc in 1949 until hi death in 1976 ideolog a marxist leninist hi theori militari strategi and polit polici ar collect known a maoism mao wa the son of a prosper peasant in shaoshan hunan he suppor chines nation and had an anti imperialist outlook earli in hi life and wa particularli influen by the event of the xinhai revolu of 1911 and mai fourth movem of 1919 he later adop marxism lenin while wor at peke univers a a librarian and becam a foun member of the chines communist parti ccp lead the autumn harvest uprise in 1927 dure the chines civil war between the kuomintang kmt and the ccp mao hel to found the chines worker and peasant red army led the jiangxi soviet  radic land reform polici and ultim becam head of the ccp dure the long march although the ccp temporarili alli with the kmt under the second unite front dure the second sino japanes war 1937 1945 china  civil war resum after japan  surrend and mao  forc defeat the nationalist govern which withdrew to taiwan in 1949 on 1 october 1949 mao proclaim the foundat of the prc a marxist leninist singl parti state control by the ccp in the follow year he solidifi hi control through the chines land reform against landlord the campaign to suppres counterrevolutionari the three anti and five anti campaign and through a truce in the korean war which altogeth resul in the death of sever million chines from 1953 to 1958 mao plai an import role in enfor command economi in china construc the first constitu of the prc launc the industrialis program and initi militari project such a the two bomb one satellit project and project 523 hi foreign polici dure thi time were domin by the sino soviet split which drove a wedg between china and the soviet union in 1955 mao launc the sufan movem and in 1957 he launc the anti rightist campaign in which at least 550 000 peopl mostli intellectu and dissid were persecut 2 in 1958 he launc the great leap forward that aim to rapidli transform china  economi from agrarian to industri which led to the deadliest famin in histori and the death of 15 55 million peopl between 1958 and 1962 in 1963 mao launc the socialist educat movem and in 1966 he initi the cultur revolu a program to remov counter revolutionari elem in chines societi which las 10 year and wa mar by violent clas struggl widespread destruc of cultur artifact and an unpreceden elev of mao  cult of person ten of million of peopl were persecut dure the revolu while the estim number of death rang from hund of thousand to million after year of ill health mao suffer a seri of heart attack in 1976 and di at the ag of 82 dure the mao era china  popul grew from around 550 million to over 900 million while the govern did not strictli enforc it famili plan polici wide regar a on of the most influenti figur of the twentieth centuri mao remain a controversi figur within and outsid china beyond polit mao i also known a a theorist militari strategist and poet mao ha been credit with transfor china from a semi coloni to a lead world power with greatli advan literaci women  right basic healthcar primari educ and life expect 3 4 5 6 howev mao  govern wa respons for vast number of death with estim ran from 40 to 80 million victim through starvat persecu prison labour and mas execu 7 8 9 10 dure hi leadership tenur china wa heavili invol with other asian communist conflict such a the korean war the vietnam war and the cambodian civil war,"Mao's government was responsible for vast numbers of deaths, with estimates ranging from 40 to 80 million victims through starvation, persecution, prison labour, and mass executions.",closed_qa
Who did John Evelyn support during the English Civil War?,sir john evelyn 1591 1664 wa an english politician who sat in the hous of common at variou time between 1628 and 1660 he reluctantli suppor the parliamentari side in the english civil war evelyn wa the son of sir john evelyn of kingston godston surrei and marden mp and hi wife elizabeth stever daughter of william stever of kingston upon thame he wa baptis at kingston upon thame on 20 october 1591 he wa admit at emmanuel colleg cambridg on 13 march 1606 he wa a member of the virginia compani in 1612 and of the east india compani in 1624 he wa a jp for surrei from 1624,the Parliamentary side,closed_qa
"Given this paragraph, extract a list of names that are playable by the user of this game.",dure the singl player campaign the player control five differ charact from a first person perspect the player primarili control sergeant gari roach sanderson a british member of an intern special forc unit name task forc 141 in addit to roach the player will also assum control of privat first clas joseph allen troi baker and privat jame ramirez of the u s army  1st battal 75th ranger regim 23 the now captain john soap mactavish kevin mckidd serv a a senior member of task forc 141 ac a roach  superior offic and becom the playab charact in the final three mission of the game 24 lastli the player briefli assum the role of an astronaut station on the internat space station dure the height of the war between the unite state and russia the game  non playab charact npc featur promin in the stori for task forc 141 lieuten simon ghost rilei craig fairbras who conceal hi face with a skull print balaclava serv a soap  second in command 25 for the unite state army ranger sergeant folei keith david along with hi subordin corpor dunn barri pepper i initi joseph allen  squad leader and becom jame ramirez  squad leader later in the stori lieuten gener shepherd lanc henriksen i the command of the unite state army ranger and task forc 141 other suppor charact retur from call of duti 4 includ captain john price billi murrai mactavish  former comman offic in the british special air servic who wa imprison in russia and russian inform tur mercenari pilot nikolai sven holmberg,"1. Sergeant Gary ""Roach"" Sanderson
2. Joseph Allen
3. James Ramirez
4. John ""Soap"" MacTavish
5. An unnamed astronaut",information_extraction
Eminem's 8 Mile is named after a road in which city?,,Detroit.,open_qa
Is it safe for dogs to eat avacado?,,"No, avocado is considered dangerous for dogs to consume.",open_qa
How to reverse Type 2 diabetes naturally?,,"Intermittent fasting is recently been found to be very effective in reversing Type 2 diabetes 
Especially healthy eating habits during in eating window and healthy lifestyle accelerates the time taken to reverse the Type 2 diabetes i.e blood sugar levels comes to normal range.
There’s a lot of research going on in this space, lots of people are seeing the results. Doctors and dietician are finding this revolutionary and out of the standard medical procedure of treating Type 2 diabetes with drugs like Metformin.”
Low carb high protein and high fat diet, keto diet, right exercise routine have found to improve the results. 
The effect of this approach depends on various factors like Age, current food habits and health lifestyle, severity of the condition, discipline, will power and lots more",general_qa
Who is the founder of the Communist Party?,,Lenin,open_qa
What is gardening?,garden i the practic of grow and cultiv plant a part of horticultur in garden ornam plant ar often grown for their flower foliag or overal appear us plant such a root veget leaf veget fruit and herb ar grown for consump for us a dye or for medicin or cosmet us garden rang in scale from fruit orchard to long boulevard plan with on or more differ type of shrub tree and herbac plant to residenti back garden includ lawn and foundat plan all the wai to contain garden grown insid or outsid garden mai be veri special with onli on type of plant grown or involv a varieti of plant in mix plan it involv an activ particip in the grow of plant and tend to be labor intens which differenti it from far or forestri,"Gardening is laying out and caring for a plot of ground devoted partially or wholly to growing plants such as flowers, herbs, or vegetables.",information_extraction
What are your thoughts of Michael Jackson as a singer and person,,"Michael Jackson is acclaimed as the greatest pop star of all times. He invented the Moon Walk and created many chartbuster hits. He still continues to have a loyal fanbase across the world, shows on him are still running packed houses in Las Vegas.",creative_writing
What is the largest pollutant?,,"Carbon dioxide (CO2) - a greenhouse gas emitted by burning fossil fuels, deforestation, and other human activities that contribute to climate change.

Particulate matter - tiny particles of pollutants such as dust, smoke, and soot that can be inhaled and cause respiratory problems.

Nitrogen oxides (NOx) - gases emitted by vehicle exhausts and industrial processes that contribute to air pollution and can also react with other pollutants to form ozone.

Sulfur dioxide (SO2) - a gas emitted by burning fossil fuels and industrial processes that can cause respiratory problems and acid rain.

Methane (CH4) - a potent greenhouse gas emitted by agriculture, waste management, and natural gas production.

Chlorofluorocarbons (CFCs) - chemicals used in refrigeration, air conditioning, and industrial processes that contribute to the depletion of the ozone layer.",general_qa
Why do people drink coffee?,,Coffee contains caffeine which is a stimulant.  It increases wakefulness and alertness.  Too much coffee can cause hyperactivity.,general_qa
"Give this paragraph about the Alley Cats a capella group, what famous talk show hosts have they performed for?",the group origin in 1987 when a concert choir program wa have a varieti night occur at fullerton colleg when john tebai the choir director sugges that andre peek 1st tenor and lead vocalist at that time and armando fonseca 2nd tenor perform togeth both of them decid to take mr tebai advic and form a quartet an a cappella group two addit member along the wai royc reynold bas and todd dixon bariton got togeth and the foursom gain notic sinc then the allei cat have perfor for mani audienc ran from elementari school fun night 1 to be grand prize winner on the gong show perfor on the arsenio hall show to the tonight show with jai leno a well a open for leno at hi la vega show 2 the allei cat  sound ha been heard a well at the white hous the allei cat appear in the richard simmon workout video danc your pant off perfor the song celebr,Jay Leno and Arsenio Hall,closed_qa
Provide a bulleted list of ways to spend less money,,"The following are ways to spend less money
1. Make a budget and track spending
2. Cook your own food
3. Don't drink alcohol
4. Delete the Amazon application
5. Have get togethers at home
6. Find a cheaper place to live
7. Negotiate insurance rates",brainstorming
How should I deal with my kid's allergy?,,"Find out what your kid is allergic to by conducting a series of tests. Also make sure the kid changes cloth after coming back from school to avoid spreading allergy agents, e.g. dust or pollens, into the bedroom and taking shower right after school is a good idea too. In some severe cases doctors may prescribe allergy shots, so do ask about that option if necessary.",general_qa
"What does Wittgenstein view as a problem with learning a language using ""ostensive defining""?",wittgenstein clarifi the problem of commun us a human languag when he discus lear a languag by ostens defin for examp if on wan to teach someon that a pencil wa call a pencil and poin to a pencil and said pencil how doe the listen know that what on i trying to convei i that the thing in front of me e g the entir pencil i call a pencil isn t it possib that the listen would associ pencil with wood mayb the listen would associ the word pencil with round instead a pencil ar usual in fact round wittgenstein write regar sever possib interpret which mai aris after such a lesson the student mai interpret your poin at a pencil and sai pencil to mean the follow 1 thi i a pencil 2 thi i round 3 thi i wood 4 thi i on 5 thi i hard etc etc,"As example of ""Ostensive defining"" is pointing to an object and saying it's name. Wittgenstein sees ""ostensive defining"" as a problem of communication because simply linking a word to an object carries with it ambiguity. For instance, if someone pointed to a pencil and said, ""pencil"", the listener may not know exactly what the word refers to. It may refer to the pencil itself, the shape of the pencil, the material of the pencil, the quantity of the pencil, or any other quality of the pencil.",information_extraction
"Identify the bird from the list: Queensbury, Kingfisher, Bishopsgate",,Kingfisher,classification
What are fun things to do in New York City,,"1. Plan a trip to Central Park 
2. Go shopping on Fifth Avenue 
3. Get a New York City Bagel 
4. Take the Subway to visit the Statue of Liberty",brainstorming
"What is an string instrument that is similar to a Violin, but larger in size and with a lower and deeper sound?",the viola viˈoʊlə vee oh lə 1 also uk vaɪˈoʊlə vy oh lə 2 3 a italian ˈvjɔːla viˈɔːla i a string instrum that i bow pluc or plai with vari techniqu slightli larger than a violin it ha a lower and deeper sound sinc the 18th centuri it ha been the middl or alto voic of the violin famili between the violin which i tune a perfect fifth abov and the cello which i tune an octav below 4 the string from low to high ar typic tune to c3 g3 d4 and a4,The instrument you are looking for is a Viola.,closed_qa
"Classify each of the following as either typical indoor or outdoor sports: Chess, Carrom, Cricket, Billiards, Table Tennis, Field Hockey, Rugby, Snooker, Soccer and Boxing",,"Chess - Indoor
Carrom - Indoor 
Cricket - Outdoor 
Billiards -  Indoor 
Table Tennis - Indoor 
Field Hockey - Outdoor 
Rugby - Outdoor 
Snooker - Indoor 
Soccer - Outdoor 
Boxing - Indoor",classification
What conference does the Spokane Braves belong to?,the spokan brave ar a junior b ice hockei team base in spokan washington unite state thei ar member of the neil murdoch divis of the kootenai confer of the kootenai internat junior hockei leagu kijhl thei plai their home game at eagl ice a rena the brave ar the onli team in the kijhl to plai in the unite state thei were for to go on hiatu at the begin of the 20 21 season due to the us canada border closur,The Spokane Braves are members of the Kootenay Conference of the Kootenay International Junior Hockey League (KIJHL).,summarization
What are some sports that are played with a round ball?,,"Cricket, Baseball, Basketball, Volleyball, Tennis, Pickleball, Table Tennis, Soccer, Racquetball, Hockey, Squash, handball",open_qa
"Given a reference text about coleus rotundifolius, what are they commonly known as?",coleu rotundifoliu synonym plectranthu rotundifoliu and solenostemon rotundifoliu 1 commonli known a nativ or countri potato in africa and call chines potato in india i a perenni herbac plant of the mint famili lamiacea nativ to tropic africa it i cultiv for it edib tuber primarili in west africa a well a more recent in part of asia especi india sri lanka malaysia and indonesia 2 c rotundifoliu i close relat to the coleu plant wide cultiv a ornam and i now again place in the genu coleu after be place in the defunct genu solenostemon and in plectranthu 1,Coleus rotundifolius are commonly known as country potato in Africa and Chinese potato in India.,closed_qa
